lat,lon,satelite,data
-27.239900,-60.845300,GOES-19,2026-09-26 14:40:00
-23.740500,-56.701400,GOES-19,2026-09-26 14:40:00
-14.117300,-64.592000,GOES-19,2026-09-26 14:40:00
-14.136300,-64.591000,GOES-19,2026-09-26 14:40:00
-14.171400,-64.991300,GOES-19,2026-09-26 14:40:00
-14.190500,-64.990300,GOES-19,2026-09-26 14:40:00
-14.190600,-64.971100,GOES-19,2026-09-26 14:40:00
-14.251200,-67.291700,GOES-19,2026-09-26 14:40:00
-14.251300,-67.272700,GOES-19,2026-09-26 14:40:00
-14.276500,-63.795000,GOES-19,2026-09-26 14:40:00
-14.276600,-63.775700,GOES-19,2026-09-26 14:40:00
-14.295700,-63.774500,GOES-19,2026-09-26 14:40:00
-14.489800,-65.815900,GOES-19,2026-09-26 14:40:00
-14.508900,-65.815000,GOES-19,2026-09-26 14:40:00
-14.546200,-63.546800,GOES-19,2026-09-26 14:40:00
-14.690200,-64.617300,GOES-19,2026-09-26 14:40:00
-17.458200,-59.560400,GOES-19,2026-09-26 14:40:00
3.862900,-59.397300,GOES-19,2026-09-26 14:40:00
3.826000,-59.474800,GOES-19,2026-09-26 14:40:00
3.826100,-59.455600,GOES-19,2026-09-26 14:40:00
3.807700,-59.475200,GOES-19,2026-09-26 14:40:00
3.771000,-59.514300,GOES-19,2026-09-26 14:40:00
3.752700,-59.514700,GOES-19,2026-09-26 14:40:00
3.734400,-59.496000,GOES-19,2026-09-26 14:40:00
3.716100,-59.496400,GOES-19,2026-09-26 14:40:00
3.679000,-59.669300,GOES-19,2026-09-26 14:40:00
-12.177900,-65.638100,GOES-19,2026-09-26 14:40:00
-13.523100,-65.177500,GOES-19,2026-09-26 14:40:00
-13.541900,-65.195600,GOES-19,2026-09-26 14:40:00
-13.542100,-65.176600,GOES-19,2026-09-26 14:40:00
-13.640000,-64.770800,GOES-19,2026-09-26 14:40:00
-19.413700,-59.772800,GOES-19,2026-09-26 14:40:00
-19.903200,-58.025300,GOES-19,2026-09-26 14:40:00
-20.258000,-58.435100,GOES-19,2026-09-26 14:40:00
-20.258300,-58.414300,GOES-19,2026-09-26 14:40:00
-20.278900,-58.390900,GOES-19,2026-09-26 14:40:00
-20.299100,-58.388200,GOES-19,2026-09-26 14:40:00
-20.489900,-59.005700,GOES-19,2026-09-26 14:40:00
-20.696300,-61.219200,GOES-19,2026-09-26 14:40:00
-20.716600,-61.217000,GOES-19,2026-09-26 14:40:00
-21.457700,-61.809200,GOES-19,2026-09-26 14:40:00
-21.539100,-58.218700,GOES-19,2026-09-26 14:40:00
-21.558800,-58.257900,GOES-19,2026-09-26 14:40:00
-21.559200,-58.236800,GOES-19,2026-09-26 14:40:00
